fecha,real,predicción
2025-03-08,173575.0,210855.03
2025-03-09,685753.0,712822.8
2025-03-10,703400.0,663655.56
2025-03-11,718431.0,707565.94
2025-03-12,720276.0,546792.94
2025-03-13,693376.0,685263.9
2025-03-14,325601.0,548322.94
2025-03-15,168336.0,196761.23
2025-03-16,679236.0,711635.94
2025-03-17,694929.0,744155.3
2025-03-18,721975.0,762054.1
2025-03-19,769820.0,577609.25
2025-03-20,712837.0,568766.9
2025-03-21,311431.0,504380.75
2025-03-22,151819.0,175569.02
2025-03-23,298621.0,615539.56
2025-03-24,776474.0,452696.0
2025-03-25,778738.0,616391.25
2025-03-26,771637.0,554566.25
2025-03-27,707511.0,619332.75
2025-03-28,330769.0,606217.7
2025-03-29,159453.0,109022.68
2025-03-30,736887.0,639334.9
2025-03-31,802341.0,554170.0
2025-04-01,217311.0,805160.75
2025-04-02,818558.0,799373.7
2025-04-03,764508.0,801048.9
2025-04-04,346336.0,671478.56
2025-04-05,197930.0,183414.47
2025-04-06,755134.0,763920.8
2025-04-07,1015446.0,779464.4
2025-04-08,770421.0,893328.06
2025-04-09,66.0,501221.84
2025-04-10,753431.0,531813.4
2025-04-11,366448.0,662550.3
2025-04-12,206184.0,173674.94
2025-04-13,790875.0,808313.4
2025-04-14,824515.0,788771.4
2025-04-15,820519.0,542445.8
2025-04-16,352614.0,655912.44
2025-04-17,232255.0,742255.3
2025-04-18,305233.0,445628.7
2025-04-19,175230.0,305490.38
2025-04-20,768937.0,741229.2
2025-04-21,802079.0,861063.9
2025-04-22,811502.0,903620.9
2025-04-23,842518.0,882684.06
2025-04-24,812250.0,570846.44
2025-04-25,379361.0,753193.0
2025-04-26,195253.0,157470.61
2025-04-27,781207.0,721350.8
2025-04-28,830122.0,858484.4
2025-04-29,854583.0,807736.0
2025-04-30,170226.0,578835.9
2025-05-01,405823.0,838201.3
2025-05-02,358294.0,823916.5
2025-05-03,184331.0,486090.9
2025-05-04,753913.0,799606.06
2025-05-05,804825.0,767563.7
2025-05-06,831087.0,755439.94
2025-05-07,1076335.0,795109.3
2025-05-08,817283.0,905109.9
2025-05-09,403867.0,475800.16
2025-05-10,217957.0,416337.3
2025-05-11,798755.0,852352.4
2025-05-12,821226.0,803938.6
2025-05-13,814279.0,797212.6
2025-05-14,822861.0,558524.56
2025-05-15,671244.0,742903.4
2025-05-16,249175.0,527142.44
2025-05-17,208727.0,280544.47
2025-05-18,773783.0,262348.44
2025-05-19,823968.0,781657.4
2025-05-20,805093.0,672428.1
2025-05-21,821516.0,445724.78
2025-05-22,743005.0,472748.4
2025-05-23,375324.0,508444.53
2025-05-24,199173.0,336690.34
2025-05-25,736647.0,861720.7
2025-05-26,728619.0,821055.06
2025-05-27,815753.0,764172.44
2025-05-28,804031.0,582772.06
2025-05-29,772809.0,636946.06
2025-05-30,366438.0,442637.22
2025-05-31,195959.0,327573.22
2025-06-01,777390.0,740013.2
2025-06-02,812827.0,711323.75
2025-06-03,855492.0,584386.9
2025-06-04,843008.0,506104.7
2025-06-05,805015.0,602584.6
2025-06-06,386927.0,567208.7
2025-06-07,448569.0,154256.56
2025-06-08,805162.0,755119.56
2025-06-09,858160.0,732104.6
2025-06-10,832061.0,751747.8
2025-06-11,843346.0,645736.3
2025-06-12,795145.0,823973.06
2025-06-13,342724.0,561397.6
2025-06-14,195282.0,208164.45
2025-06-15,202552.0,320083.3
2025-06-16,822394.0,641900.8
2025-06-17,827346.0,447893.88
2025-06-18,876938.0,513373.22
2025-06-19,286899.0,596725.7
2025-06-20,368368.0,525279.2
2025-06-21,180744.0,235936.81
2025-06-22,739852.0,599905.75
2025-06-23,789909.0,674183.9
2025-06-24,819247.0,816144.2
2025-06-25,809676.0,718294.44
2025-06-26,770802.0,751036.2
2025-06-27,385075.0,694364.9
2025-06-28,186569.0,219640.33
2025-06-29,748443.0,694887.2
2025-06-30,771450.0,742581.25
2025-07-01,794225.0,805554.1
2025-07-02,791118.0,598564.56
2025-07-03,799891.0,574589.94
2025-07-04,424028.0,766666.9
2025-07-05,228610.0,270646.9
2025-07-06,793001.0,696131.0
2025-07-07,1092665.0,788524.5
2025-07-08,240990.0,824093.2
2025-07-09,855432.0,552595.2
2025-07-10,822118.0,653471.75
2025-07-11,420351.0,777794.44
2025-07-12,223999.0,323906.47
2025-07-13,775332.0,977219.2
2025-07-14,821782.0,782322.75
2025-07-15,742465.0,661433.7
2025-07-16,866757.0,747754.1
2025-07-17,808169.0,622372.9
2025-07-18,420419.0,733226.0
2025-07-19,261278.0,259024.42
2025-07-20,694663.0,513210.88
2025-07-21,726372.0,872808.6
2025-07-22,748261.0,835784.25
2025-07-23,737403.0,477069.0
2025-07-24,671584.0,698069.0
2025-07-25,394122.0,595184.7
2025-07-26,227129.0,280775.1
2025-07-27,657959.0,723708.6
2025-07-28,708404.0,745258.9
2025-07-29,716024.0,499548.3
2025-07-30,700626.0,703439.9
2025-07-31,392079.0,555553.9
2025-08-01,290559.0,536773.0
2025-08-02,160584.0,462848.7
2025-08-03,443970.0,811049.0
2025-08-04,551167.0,831420.2
2025-08-05,559437.0,650816.1
2025-08-06,585217.0,495313.47
2025-08-07,786551.0,507935.03
2025-08-08,295460.0,457432.72
2025-08-09,158659.0,326181.7
2025-08-10,534221.0,761926.4
2025-08-11,581986.0,580184.2
2025-08-12,586626.0,615653.94
2025-08-13,606983.0,518031.97
